2002,0.0137,1.0362,-0.0068,725,390,327,630,586,0,0,47.0047,-31.7911,0,0,0,1,0,1950,-0.0153,1.0524,-0.6387,747,565,310,664,518,57,0,9.9269,-0.0164,0,0,0,1,0,25
2028,0.0137,1.0362,-0.0068,725,390,333,629,587,0,0,40.6228,-257.8084,0,0,0,1,0,1976,-0.0153,1.0524,-0.6387,749,566,312,673,516,57,0,9.9269,-0.0164,0,0,0,1,0,50
2054,0.0137,1.0362,-0.0068,724,390,329,626,587,0,0,40.2968,-31.7739,0,0,0,1,0,2002,-0.0153,1.0524,-0.6387,752,563,307,669,516,58,0,10.0022,0.0008,0,0,0,1,0,75
2080,0.0137,1.0362,-0.0068,724,391,327,631,589,0,0,42.3277,-31.7739,0,0,0,1,0,2028,-0.0153,1.0524,-0.6387,752,565,308,672,519,57,0,9.9269,-0.0336,0,0,0,1,0,100
2106,0.0137,1.0362,-0.0068,725,388,327,629,588,0,0,42.6845,-31.7739,0,0,0,1,0,2054,-0.0153,1.0524,-0.6387,751,566,307,669,517,58,0,9.9770,-0.0336,0,0,0,1,0,125
2132,0.0137,1.0362,-0.0068,735,389,325,629,578,0,0,45.3445,-31.7739,0,0,0,1,0,2080,-0.0153,1.0524,-0.6387,751,571,310,676,517,56,0,9.9770,-0.0509,0,0,0,1,0,150
2158,0.0137,1.0362,-0.0068,725,390,326,629,589,0,0,45.3445,1961.8813,0,0,0,1,0,2106,-0.0153,1.0524,-0.6387,747,561,308,674,525,57,0,9.9770,-0.0509,0,0,0,1,0,175
2184,0.0137,1.0362,-0.0068,720,391,325,639,588,0,0,44.1684,-25.5325,0,0,0,1,0,2132,-0.0153,1.0524,-0.6387,764,566,308,669,512,57,0,9.9269,-0.0336,0,0,0,1,0,200
2210,0.0137,1.0362,-0.0068,724,389,327,625,587,0,0,46.5793,-25.5325,0,0,0,1,0,2158,-0.0153,1.0524,-0.6387,753,560,305,667,525,56,0,9.9269,-0.0336,0,0,0,1,0,225
2236,0.0137,1.0362,-0.0068,724,391,320,631,587,0,0,57.9137,-25.5325,0,0,0,1,0,2184,-0.0153,1.0524,-0.6387,758,563,306,672,512,56,0,9.9770,-0.0336,0,0,0,1,0,250
