0,0,0.5912,0.0453,731,782,271,640,526,0,0,-16.6414,-0.1635,0,0,0,1,0
26,0,0.5912,0.0453,758,779,279,623,519,0,0,-18.2286,-0.129,0,0,0,1,0
52,0,0.5912,0.0453,697,879,271,651,542,0,0,16.8075,0.2502,0,0,0,1,0
77,0,0.5912,0.0453,632,792,278,542,525,0,0,-15.7008,0.3019,0,0,0,1,0
102,0,0.5912,0.0453,767,307,311,542,640,0,0,-15.7008,0.3019,0,0,0,1,0
128,0,0.5912,0.0453,767,793,830,623,536,0,0,-16.6414,0.7157,0,0,0,1,0
154,0,0.5912,0.0453,755,367,287,764,519,0,0,-18.2286,0.2674,0,0,0,1,0
180,0,0.5912,0.0453,760,796,305,534,539,0,0,604.2078,0.2502,0,0,0,1,0
206,0,0.5912,0.0453,632,396,807,655,526,0,0,-10.4053,0.2846,0,0,0,1,0
232,0,0.5912,0.0453,758,283,823,654,539,0,0,16.8075,-0.1635,0,0,0,1,0
258,0,0.5912,0.0453,630,799,364,574,526,0,0,16.8075,-0.1635,0,0,0,1,0
284,0,0.5912,0.0453,764,831,811,560,536,0,0,-15.7008,-0.1635,0,0,0,1,0
310,0,0.5912,0.0453,767,400,878,543,640,0,0,-9.3922,-0.1808,0,0,0,1,0
336,0,0.5912,0.0453,767,829,311,575,536,0,0,-15.7008,-0.1635,0,0,0,1,0
362,0,0.5912,0.0453,739,319,407,670,526,0,0,-15.7008,0.3019,0,0,0,1,0
388,0,0.5912,0.0453,764,816,824,623,536,0,0,-15.9762,-0.1635,0,0,0,1,0
414,0,0.5912,0.0453,764,818,312,561,575,0,0,-15.7008,0.2502,0,0,0,1,0
440,0,0.5912,0.0453,766,871,511,611,648,0,0,-14.9875,-0.1635,0,0,0,1,0
466,0,0.5912,0.0453,755,916,312,560,649,0,0,16.8075,-0.1635,0,0,0,1,0
492,0,0.5912,0.0453,759,818,379,658,563,0,0,-17.7608,0.2502,0,0,0,1,0
518,0,0.5912,0.0453,767,359,495,614,751,0,0,-15.7008,0.2674,0,0,0,1,0
544,0,0.5912,0.0453,767,913,1020,620,652,0,0,-10.4053,-0.1635,0,0,0,1,0
570,0,0.5912,0.0453,748,876,1020,550,531,0,0,16.1852,0.2674,0,0,0,1,0
596,0,0.5912,0.0453,759,876,887,534,536,0,0,-13.7669,0.2502,0,0,0,1,0
622,0,0.5912,0.0453,636,307,823,547,648,0,0,-15.7008,0.2329,0,0,0,1,0
648,0,0.5912,0.0453,763,859,359,542,536,0,0,-9.3922,-0.1635,0,0,0,1,0
674,0,0.5912,0.0453,764,812,826,656,527,0,0,-9.3922,0.2674,0,0,0,1,0
699,0,0.5912,0.0453,639,917,507,719,563,0,0,-16.6414,0.2674,0,0,0,1,0
725,0,0.5912,0.0453,623,876,924,611,640,0,0,-18.2286,-0.1808,0,0,0,1,0
751,0,0.5912,0.0453,767,871,316,630,650,0,0,-10.4053,-0.1635,0,0,0,1,0
777,0,0.5912,0.0453,766,366,508,719,536,0,0,-15.7008,-0.1635,0,0,0,1,0
803,0,0.5912,0.0453,759,821,379,623,623,0,0,8.6075,-0.1635,0,0,0,1,0
